event_id,customer_id,event_type,event_ts,page,updated_at
E001,1,page_view,2024-05-01 08:00:00,home,2024-05-01 08:00:00
E002,2,page_view,2024-05-01 09:10:00,products,2024-05-01 09:10:00
E003,1,add_to_cart,2024-05-01 09:15:00,products,2024-05-01 09:15:00
E004,3,purchase,2024-05-02 10:00:00,checkout,2024-05-02 10:00:00
E005,4,page_view,2024-05-02 11:30:00,home,2024-05-02 11:30:00
E006,5,purchase,2024-05-03 14:00:00,checkout,2024-05-03 14:00:00
E007,2,add_to_cart,2024-05-03 15:45:00,products,2024-05-03 15:45:00
E008,6,page_view,2024-05-04 08:20:00,home,2024-05-04 08:20:00
E009,1,purchase,2024-05-04 09:50:00,checkout,2024-05-04 09:50:00
E010,3,page_view,2024-05-05 10:10:00,home,2024-05-05 10:10:00
