order_id,customer_id,order_date,status,amount,updated_at
1001,1,2024-01-10,completed,950.00,2024-01-12
1002,2,2024-01-15,completed,89.99,2024-01-17
1003,3,2024-02-01,pending,430.50,2024-02-01
1004,1,2024-02-20,completed,110.00,2024-02-22
1005,4,2024-03-05,cancelled,60.00,2024-03-06
1006,5,2024-03-18,completed,320.75,2024-03-20
1007,2,2024-04-02,completed,175.00,2024-04-04
1008,6,2024-04-10,pending,540.00,2024-04-10
1009,3,2024-04-25,completed,95.00,2024-04-27
1010,1,2024-05-01,completed,215.50,2024-05-03
